EntryID,LemmaID,Code,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,Complexity,RightWristX,RightWristcentroidY,DistanceRightWristCentroid2Nose,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,Batch,Item,List,Neighborhood Density
accept,,H_02_42,5.5,,0.812,,,,,,,,,,2.739,1.5730000000000002,-0.276,24.0,,,Verb,,,,,,,,,,,,,,,2,953.0,319.0,1005.0,Arbitrary,,0.0,0.0,1.0,flatspread_4,1.0,imrp,4,1.0,1.0,1.0,Open,Contact,SymmetricalOrAlternating,Straight,Body,TorsoTop,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,42,2,205
access,,H_02_86,5.0360000000000005,,0.527,,,,,,,,,,2.565,1.376,-0.331,24.0,,,Noun,,,,,,,,,,,,,,,1,960.0,676.0,1174.0,Arbitrary,,0.0,0.0,1.0,open_b,1.0,imrp,1,0.0,0.0,0.0,Open,NoContact,AsymmetricalDifferentHandshape,Straight,Hand,Palm,HandAway,1.0,B,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,86,2,540
accident,accident,B_02_059,4.12,1.8330000000000002,-0.326,25.0,0.0,4.071000000000001,1.5919999999999999,-0.344,14.0,0.0,,,3.3,2.045,0.263,30.0,,3.6180000000000003,Verb,400.4,1101.1,700.7,870.0,88.0,12.0,4.0,2.0,31.0,1.0,4.0,2.0,22.0,0.0,1,1575.0,749.0,1743.0,Arbitrary,0.0,0.0,0.0,1.0,5,0.0,imrp,1,1.0,1.0,1.0,Open,Contact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,59,2,865
accomplish,accomplish,C_02_085,4.467,1.456,0.047,30.0,0.0,4.611000000000001,1.42,0.024,18.0,0.0,,,1.963,2.025,-0.39799999999999996,27.0,,2.48,Verb,600.6,1034.37,433.77,875.0,27.0,12.0,2.0,1.0,30.0,-1.0,2.0,1.0,21.0,-1.0,1,1670.0,774.0,1841.0,Arbitrary,0.0,0.0,0.0,1.0,1,0.0,i,1,0.0,,,Closed,NoContact,SymmetricalOrAlternating,Straight,Head,HeadAway,HeadAway,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,85,2,520
accordion,,F_02_48,1.7369999999999999,,-1.423,,,,,,,,,,6.065,2.218,1.237,31.0,,1.8330000000000002,Noun,,,,,,,,,,,,,,,1,983.0,1356.0,1675.0,Pantomimic,,0.0,0.0,1.0,s,0.0,imrp,7,0.0,0.0,0.0,Closed,Contact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,48,2,865
accountant,accountant,A_03_044,3.24,1.8319999999999999,-0.381,25.0,0.0,3.0669999999999997,1.9069999999999998,-0.424,15.0,0.0,,,2.476,2.153,-0.496,21.0,,2.5,Noun,400.4,1234.57,834.17,525.0,11.0,2.0,2.0,1.0,31.0,-1.0,1.0,1.0,19.0,-1.0,1,1534.0,640.0,1662.0,Arbitrary,0.0,0.0,1.0,2.0,f,1.0,i,5,0.0,,,Open,Contact,AsymmetricalDifferentHandshape,Straight,Hand,Palm,,1.0,B,0.0,open_b,1.0,imrp,1,0.0,0.0,0.0,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,44,3,16
acquire,,H_01_34,5.25,,0.6759999999999999,,,,,,,,,,2.296,1.8359999999999999,-0.57,27.0,,,Verb,,,,,,,,,,,,,,,3,963.0,591.0,1130.0,Arbitrary,,0.0,0.0,1.0,8,1.0,m,4,1.0,,,Open,Contact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,34,1,865
act,act,B_02_038,4.28,1.208,-0.214,25.0,0.0,4.2860000000000005,0.914,-0.225,14.0,0.0,,,1.6,2.045,-0.539,30.0,,3.7460000000000004,Verb,333.67,900.9,567.23,732.0,10.0,2.0,1.0,1.0,31.0,-1.0,2.0,1.0,22.0,-1.0,3,1534.0,640.0,1662.0,Arbitrary,0.0,0.0,0.0,1.0,a,1.0,t,,0.0,,,Open,,SymmetricalOrAlternating,Circular,Body,TorsoTop,TorsoTop,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,38,2,205
action,action,C_01_026,4.533,1.383,0.075,30.0,0.0,4.944,1.11,0.218,18.0,0.0,,,2.2,1.921,-0.336,30.0,,3.4939999999999998,Noun,500.5,1167.84,667.33,711.0,35.0,3.0,2.0,1.0,30.0,0.0,2.0,1.0,21.0,0.0,1,1600.0,809.0,1793.0,Arbitrary,0.0,0.0,0.0,1.0,c,0.0,imrp,5,0.0,0.0,0.0,Open,NoContact,SymmetricalOrAlternating,Circular,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,26,1,865
actor,actor,A_03_047,4.44,1.635,0.23,25.0,0.0,4.533,1.4069999999999998,0.33,15.0,0.0,,,1.524,2.153,-0.941,21.0,,3.128,Noun,300.3,1234.57,934.27,515.0,2.0,0.0,2.0,1.0,31.0,-1.0,2.0,1.0,19.0,-1.0,3,1534.0,640.0,1662.0,Arbitrary,0.0,0.0,1.0,2.0,a,1.0,t,,0.0,,,Open,,SymmetricalOrAlternating,Circular,Body,TorsoTop,BodyAway,1.0,,0.0,open_b,1.0,imrp,1,0.0,0.0,0.0,Open,NoContact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,47,3,5
add,,E_02_30,5.188,,0.52,,,,,,,,,,2.9,2.052,-0.391,30.0,,3.227,Verb,,,,,,,,,,,,,,,3,960.0,676.0,1174.0,Arbitrary,,0.0,0.0,1.0,flatspread_4,1.0,imrp,4,1.0,1.0,1.0,Open,Contact,AsymmetricalSameHandshape,Curved,Hand,HandAway,FingerUlnar,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,30,2,540
addict,,H_02_73,4.25,,0.10099999999999999,,,,,,,,,,2.391,1.158,-0.387,24.0,,,Adjective,,,,,,,,,,,,,,,1,962.0,640.0,1156.0,Arbitrary,,0.0,0.0,1.0,bent_1,1.0,i,2,0.0,,,Closed,NoContact,OneHanded,Straight,Head,Mouth,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,73,2,520
address,address,D_01_016,4.888999999999999,1.476,0.41,27.0,0.0,5.125,1.4080000000000001,0.528,16.0,0.0,,,1.486,2.025,-0.728,37.0,,3.426,Noun,667.33,1568.24,900.9,737.0,11.0,0.0,1.0,1.0,26.0,-1.0,1.0,1.0,18.0,-1.0,2,1701.0,778.0,1870.0,Arbitrary,1.0,0.0,0.0,1.0,a,1.0,t,,0.0,,,Open,,SymmetricalOrAlternating,Straight,Body,TorsoMid,TorsoTop,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,16,1,205
admire,,J_03_049,4.4830000000000005,,0.20800000000000002,,,,,,,,,,1.636,1.177,-0.57,22.0,,,,,,,,,,,,,,,,,,4,960.0,522.0,1092.0,Arbitrary,,0.0,0.0,1.0,flat_v,1.0,im,4,1.0,1.0,0.0,Closed,NoContact,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,49,3,865
admit,,J_02_062,4.633,,0.306,,,,,,,,,,3.792,1.25,0.32899999999999996,24.0,admit (confess),,,,,,,,,,,,,,,,,1,960.0,522.0,1092.0,Arbitrary,,0.0,0.0,1.0,open_b,1.0,imrp,1,0.0,0.0,0.0,Open,NoContact,OneHanded,Curved,Body,TorsoMid,BodyAway,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,62,2,205
adopt,,J_03_014,4.414,,0.149,,,,,,,,,,1.455,0.596,-0.691,22.0,,,,,,,,,,,,,,,,,,2,959.0,475.0,1070.0,Arbitrary,,0.0,0.0,1.0,flatspread_4,1.0,imrp,4,1.0,1.0,1.0,Open,Contact,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,14,3,865
adult,adult,C_03_008,4.6,1.276,0.13699999999999998,30.0,0.0,4.7780000000000005,1.215,0.146,18.0,0.0,,,2.229,2.075,-0.354,35.0,,2.863,Noun,1034.37,1835.17,800.8,803.0,7.0,0.0,3.0,2.0,30.0,0.0,3.0,2.0,21.0,0.0,2,1757.0,1101.0,2074.0,Arbitrary,0.0,0.0,0.0,1.0,flat_b,1.0,imrp,4,0.0,0.0,0.0,Open,NoContact,SymmetricalOrAlternating,Circular,Head,HeadAway,HeadAway,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,8,3,520
advantage,,H_03_59,4.7139999999999995,,0.37,,,,,,,,,,1.375,1.013,-0.8490000000000001,24.0,,,Verb,,,,,,,,,,,,,,,3,955.0,315.0,1005.0,Arbitrary,,0.0,0.0,1.0,open_8,1.0,m,4,0.0,,,Open,NoContact,AsymmetricalDifferentHandshape,Straight,Hand,Palm,HandAway,1.0,B,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,59,3,540
advertise,,J_03_015,4.207,,0.045,,,,,,,,,,1.955,0.9990000000000001,-0.434,22.0,,,,,,,,,,,,,,,,,,2,962.0,867.0,1295.0,Arbitrary,,0.0,0.0,1.0,s,0.0,imrp,7,1.0,0.0,1.0,Closed,Contact,AsymmetricalSameHandshape,Straight,Hand,FingerUlnar,HandAway,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,15,3,540
africa,africa,A_02_082,3.667,1.617,-0.092,27.0,0.0,3.923,1.605,0.051,13.0,0.0,,,2.1,2.074,-0.442,30.0,,2.9810000000000003,Noun,1067.73,2068.74,1001.0,920.0,32.0,9.0,2.0,2.0,31.0,-1.0,2.0,2.0,19.0,0.0,4,1745.0,1145.0,2087.0,Arbitrary,1.0,0.0,0.0,1.0,flat_o,0.0,imrp,4,1.0,0.0,1.0,Open,Contact,OneHanded,Curved,Neutral,Neutral,Neutral,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,82,2,865
